"Date","Bookmaker","Tipster","Sport","Category","Competition","Type of bet","Free bet","Live","Type","Label of bet","Odds","Stake","Gain","Winning bonus","Commission","Profit","State","Closing Odds","Comment"
"07/01/2024 00:59","Bet365","Yuca","Football","","","","","","Simple","O2.5 LA",1.728,6000,10368,"","",4368,"Won","",""
"07/01/2024 00:59","PlayDoit","Yuca","Football","","","","","","Simple","Panamá ",1.666,6000,9996,"","",3996,"Won","",""
"07/01/2024 00:31","Bet365","Yuca","Football","","","","","","Simple","Sta -0.25",1.975,3000,0,"","",0,"Canceled","",""
"06/30/2024 19:48","Bet365","Yuca","Football","","","","","","Simple","Over 3 Houston II",1.9,3000,5700,"","",2700,"Won","",""
"06/30/2024 19:42","PlayDoit","Turco","Baseball","","LMB - México ","","","","Simple","Dos laredos",1.777,3500,6219.5,"","",2719.5,"Won","",""
"06/30/2024 15:48","Bet365","Turco","Baseball","","MLB - USA","","","","Simple","Tigers ",1.909,3500,6681.5,"","",3181.5,"Won","",""
"06/30/2024 15:23","Bet365","Guatepicks","Football","","","","","","Simple","Gustan ",1.76,1500,-1500,"","",-1500,"Lost","",""
"06/30/2024 14:52","Bet365","Yuca","Football","","","","","","Simple","O3 live ",1.625,3000,4875,"","",1875,"Won","",""
"06/30/2024 13:48","PlayDoit","Turco","Baseball","","LMB - México ","","","","Simple","Overs",1.78,2250,-2250,"","",-2250,"Lost","",""
"06/30/2024 13:10","Bet365","Yuca","Football","","","","","","Simple","Detroit ",1.925,3000,5775,"","",2775,"Won","",""
"06/30/2024 12:56","Bet365","Guatepicks","Football","","","","","","Simple","Medellin",1.8,1500,2700,"","",1200,"Won","",""
"06/30/2024 12:19","PlayDoit","Turco","Baseball","","MLB - USA","","","","Simple","Under 8.5 Yankees ",1.76,3500,-3500,"","",-3500,"Lost","",""
"06/30/2024 11:38","Bet365","Yuca","Football","","","","","","Simple","Davis ",1.83,3000,-3000,"","",-3000,"Lost","",""
"06/29/2024 19:40","PlayDoit","DJ Serch","Basketball","","","","","","Simple","Leones ",1.8,3000,-3000,"","",-3000,"Lost","",""
"06/29/2024 17:53","PlayDoit","DJ Serch","Football","","","","","","Simple","Monreal ",1.75,3000,5250,"","",2250,"Won","",""
"06/29/2024 17:52","PlayDoit","Turco","Baseball","","LMB - México ","","","","Simple","Leon y lagunas ",2.643,3000,7929,"","",4929,"Won","",""
"06/29/2024 16:24","PlayDoit","Turco","Baseball","","MLB - USA","","","","Simple","Cubs",1.85,3500,6475,"","",2975,"Won","",""
"06/29/2024 14:51","Bet365","Turco","Football","","","","","","Simple","Pinches alemanes ",2,3750,-3750,"","",-3750,"Lost","",""
"06/29/2024 12:54","PlayDoit","Dino ","Baseball","","MLB - USA","","","","Simple","Phillies",1.57,3000,-3000,"","",-3000,"Lost","",""
"06/29/2024 12:25","PlayDoit","Dino ","Baseball","","LMB - México ","","","","Simple","Leon -1",2250,2,4500,"","",4498,"Won","",""
"06/29/2024 01:26","PlayDoit","Vidente","Tennis","","","","","","Simple","Meza",1.92,3000,5760,"","",2760,"Won","",""
"06/29/2024 00:50","Bet365","Yuca","Football","","","","","","Simple","AFF ",1.53,3375,5163.75,"","",1788.75,"Won","",""
"06/28/2024 20:26","PlayDoit","DavidM","Basketball","","","","","","Simple","Necedad ",1.77,1850,-1850,"","",-1850,"Lost","",""
"06/28/2024 19:28","Bet365","Yuca","Football","","","","","","Simple","O3 LA II",1.9,3000,5700,"","",2700,"Won","",""
"06/28/2024 15:25","Bet365","Dino ","Baseball","","MLB - USA","","","","Simple","Astros",2,3150,-3150,"","",-3150,"Lost","",""
"06/28/2024 14:17","PlayDoit","DJ Serch","Football","","","","","","Simple","USA",1.77,3750,-3750,"","",-3750,"Lost","",""
"06/28/2024 11:58","Bet365","Yuca","Football","","","","","","Simple","O2.5 ",1.909,3000,5727,"","",2727,"Won","",""
"06/28/2024 11:57","Bet365","Yuca","Football","","","","","","Simple","O2.5 molde",1.75,3000,-3000,"","",-3000,"Lost","",""
"06/27/2024 19:56","PlayDoit","Turco","Baseball","","LMB - México ","","","","Simple","O10.5 leon",1.728,3000,5184,"","",2184,"Won","",""
"06/27/2024 19:54","PlayDoit","Turco","Baseball","","LMB - México ","","","","Simple","Dos laredos",1.83,3000,5490,"","",2490,"Won","",""
"06/27/2024 19:31","Bet365","DJ Serch","Basketball","","","","","","Simple","Zulia",1.66,3000,-3000,"","",-3000,"Lost","",""
"06/27/2024 17:27","Bet365","Yuca","Football","","","","","","Simple","O2.5 cincci",1.75,3000,-3000,"","",-3000,"Lost","",""
"06/27/2024 15:58","Bet365","Guatepicks","Football","","","","","","Simple","Belgrano",1.65,2250,3712.5,"","",1462.5,"Won","",""
"06/27/2024 15:56","PlayDoit","Dino ","Baseball","","MLB - USA","","","","Simple","Royals ",1.95,3000,5850,"","",2850,"Won","",""
"06/27/2024 15:40","PlayDoit","Dino ","Baseball","","MLB - USA","","","","Simple","Phillies -1.5",1.715,3000,-3000,"","",-3000,"Lost","",""
"06/27/2024 15:29","Bet365","Turco","Baseball","","MLB - USA","","","","Simple","U9 ",1.8,6000,-6000,"","",-6000,"Lost","",""
"06/26/2024 23:04","PlayDoit","Vidente","Tennis","","","","","","Simple","Kessler",1.87,3000,5610,"","",2610,"Won","",""
"06/26/2024 20:13","PlayDoit","Turco","Baseball","","LMB - México ","","","","Simple","Águila ",1.54,4500,-4500,"","",-4500,"Lost","",""
"06/26/2024 18:01","Bet365","Guatepicks","Football","","","","","","Simple","Venezuela ",1.6,2250,3600,"","",1350,"Won","",""
"06/26/2024 17:40","Bet365","Dino ","Baseball","","","","","","Simple","Twins",1.83,3000,5490,"","",2490,"Won","",""
"06/26/2024 16:48","PlayDoit","DJ Serch","Football","","","","","","Simple","U1.5 Ecuador ",1.95,2250,-2250,"","",-2250,"Lost","",""
"06/26/2024 16:36","PlayDoit","Dino ","Baseball","","MLB - USA","","","","Simple","Mets +1.5",1.666,3000,4998,"","",1998,"Won","",""
